timestamp,tds_mv,turbidity_v,ph_mv,air_flow,Soil(V/N),temperature(C),humidity_percent,water_temp_c
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5004,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5005.5,120,1.75,7.01,1.4,3.3,27,46.3,25.62
5008.5,120,1.75,7.01,1.4,3.3,27,46.4,25.56
5010,120,1.74,7.01,1.4,3.3,27,46.3,25.62
5011.5,120,1.74,7.01,1.4,3.3,27,46.2,25.62
5013,120,1.74,7.01,1.4,3.3,26.9,46,25.62
5016.1,120,1.74,7.01,1.4,3.3,27,45.9,25.56
5017.6,120,1.74,7.01,1.4,3.3,27,45.9,25.56
5019.1,120,1.75,7.01,1.4,3.3,27,45.9,25.62
5022.1,120,1.75,7.01,1.4,3.3,27,45.7,25.62
5023.6,120,1.74,7.01,1.4,3.3,27,45.6,25.56
5025.1,120,1.74,7.01,1.4,3.3,27,45.4,25.62
5028.2,120,1.74,7.01,1.4,3.3,27,45.3,25.62
5029.7,120,1.75,7.01,1.4,3.3,27,45.2,25.62
5031.2,120,1.74,7.01,1.4,3.3,27,45.3,25.62
5032.7,120,1.75,7.01,1.4,3.3,27,45.3,25.56
5035.7,120,1.74,7.01,1.4,3.3,27,45,25.62
5037.2,120,1.74,7.01,1.4,3.3,27,45,25.56
5038.8,120,1.74,7.01,1.4,3.3,27,45,25.62
5041.8,120,1.74,7.01,1.4,3.3,27,45.2,25.56
5043.4,120,1.74,7.01,1.4,3.3,27,45.5,25.62
5044.8,120,1.74,7.01,1.4,3.3,27,45.5,25.56
5046.3,120,1.74,7.01,1.4,3.3,27,45.8,25.62
5049.4,120,1.75,7.01,1.4,3.3,27,46.3,25.56
5051.4,120,1.74,7.01,1.4,3.3,27,46.3,25.56
5053.5,120,1.74,7.01,1.4,3.3,27,46.2,25.56
5056.4,120,1.74,7.01,1.4,3.3,27,46.1,25.56
5057.9,120,1.74,7.01,1.4,3.3,27,45.9,25.56
5059.4,120,1.74,7.01,1.4,3.3,27,45.7,25.56
5102.5,120,1.74,7.01,1.4,3.3,27,45.6,25.62
5104,120,1.74,7.01,1.4,3.3,27,45.6,25.56
5105.5,120,1.75,7.01,1.4,3.3,27,45.4,25.56
5107,120,1.74,7.01,1.4,3.3,27,45.4,25.56
5110,120,1.74,7.01,1.4,3.3,27,45.6,25.56
5111.6,120,1.74,7.01,1.4,3.3,27,45.4,25.56
5113.1,120,1.74,7.01,1.4,3.3,27,45.4,25.56
5117.6,120,1.74,7.01,1.4,3.3,27.1,44.9,25.62
5119.1,120,1.74,7.01,1.4,3.3,27.1,44.9,25.56
5120.7,120,1.74,7.01,1.4,3.3,27,44.6,25.62
5123.7,120,1.74,7.01,1.4,3.3,27,44.2,25.56
5125.2,120,1.74,7.01,1.4,3.3,27,44.2,25.56
5126.7,120,1.74,7.01,1.4,3.3,27,44.1,25.56
5131.2,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5132.8,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5134.3,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5137.3,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5138.8,120,1.74,7.01,1.4,3.3,27.1,43.9,25.56
5140.3,120,1.74,7.01,1.4,3.3,27,43.8,25.62
5141.9,120,1.75,7.01,1.4,3.3,27.1,44.1,25.56
5144.9,120,1.73,7.01,1.4,3.3,27,44.2,25.56
5146.4,120,1.74,7.01,1.4,3.3,27.1,44.1,25.56
5147.9,120,1.74,7.01,1.4,3.3,27.1,44.2,25.56
5150.9,120,1.74,7.01,1.4,3.3,27.1,44.1,25.56
5152.4,120,1.74,7.01,1.4,3.3,27.1,43.9,25.56
5153.9,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5155.5,120,1.74,7.01,1.4,3.3,27.1,43.8,25.56
5158.5,120,1.75,7.01,1.4,3.3,27.1,43.8,25.56
5200,120,1.74,7.01,1.4,3.3,27.1,43.7,25.62
5201.5,120,1.74,7.01,1.4,3.3,27.1,43.7,25.56
